,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,img_seg_path,str_code,Unnamed: 0.1,Unnamed: 0,year,month,day,hour,minute,path_dyamond,UTC
497,497.0,497.0,497,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_06/ImageSegTOOCAN_20160906-02.nc,2016-9-6-1-0,1729,1729,2016,9,6,1,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000415200,17050.02
498,498.0,498.0,498,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_06/ImageSegTOOCAN_20160906-37.nc,2016-9-6-18-30,1764,1764,2016,9,6,18,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000423600,17050.37
499,499.0,499.0,499,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_06/ImageSegTOOCAN_20160906-33.nc,2016-9-6-16-30,1760,1760,2016,9,6,16,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000422640,17050.33
500,500.0,500.0,500,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_06/ImageSegTOOCAN_20160906-21.nc,2016-9-6-10-30,1748,1748,2016,9,6,10,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000419760,17050.21
501,501.0,501.0,501,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_06/ImageSegTOOCAN_20160906-22.nc,2016-9-6-11-0,1749,1749,2016,9,6,11,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000420000,17050.22
502,502.0,502.0,502,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_06/ImageSegTOOCAN_20160906-16.nc,2016-9-6-8-0,1743,1743,2016,9,6,8,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000418560,17050.16
503,503.0,503.0,503,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_06/ImageSegTOOCAN_20160906-26.nc,2016-9-6-13-0,1753,1753,2016,9,6,13,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000420960,17050.26
504,504.0,504.0,504,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_06/ImageSegTOOCAN_20160906-47.nc,2016-9-6-23-30,1774,1774,2016,9,6,23,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000426000,17050.47
505,505.0,505.0,505,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_06/ImageSegTOOCAN_20160906-28.nc,2016-9-6-14-0,1755,1755,2016,9,6,14,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000421440,17050.28
506,506.0,506.0,506,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_06/ImageSegTOOCAN_20160906-10.nc,2016-9-6-5-0,1737,1737,2016,9,6,5,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000417120,17050.1
507,507.0,507.0,507,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_06/ImageSegTOOCAN_20160906-46.nc,2016-9-6-23-0,1773,1773,2016,9,6,23,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000425760,17050.46
508,508.0,508.0,508,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_06/ImageSegTOOCAN_20160906-42.nc,2016-9-6-21-0,1769,1769,2016,9,6,21,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000424800,17050.42
509,509.0,509.0,509,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_06/ImageSegTOOCAN_20160906-35.nc,2016-9-6-17-30,1762,1762,2016,9,6,17,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000423120,17050.35
510,510.0,510.0,510,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_06/ImageSegTOOCAN_20160906-39.nc,2016-9-6-19-30,1766,1766,2016,9,6,19,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000424080,17050.39
511,511.0,511.0,511,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_06/ImageSegTOOCAN_20160906-45.nc,2016-9-6-22-30,1772,1772,2016,9,6,22,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000425520,17050.45
512,512.0,512.0,512,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_06/ImageSegTOOCAN_20160906-48.nc,2016-9-7-0-0,1775,1775,2016,9,7,0,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000426240,17050.48
513,513.0,513.0,513,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_06/ImageSegTOOCAN_20160906-13.nc,2016-9-6-6-30,1740,1740,2016,9,6,6,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000417840,17050.13
514,514.0,514.0,514,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_06/ImageSegTOOCAN_20160906-30.nc,2016-9-6-15-0,1757,1757,2016,9,6,15,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000421920,17050.3
515,515.0,515.0,515,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_06/ImageSegTOOCAN_20160906-04.nc,2016-9-6-2-0,1731,1731,2016,9,6,2,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000415680,17050.04
516,516.0,516.0,516,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_06/ImageSegTOOCAN_20160906-14.nc,2016-9-6-7-0,1741,1741,2016,9,6,7,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000418080,17050.14
517,517.0,517.0,517,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_06/ImageSegTOOCAN_20160906-19.nc,2016-9-6-9-30,1746,1746,2016,9,6,9,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000419280,17050.19
